Asset,EntryType,Direction,ATR_Pct,Range_Pct,Volatility,ADX,Trend_Bias,Trend_Quality,RSI,Hurst,Return_20,BB_Width,WinRate,Current_State,PnlPips,Result
USDJPY,CH,1,0.1779,0.0462,0.076719,28.38,0.1625,-0.0655,41.77,0.7198,0.0326,0.2777,0.0000,100.00,-6.7,0
USDJPY,CH,1,0.1779,0.0671,0.084653,27.02,0.1483,-0.5221,41.50,0.7211,-0.1502,0.3065,0.0000,100.00,-5.8,0
USDJPY,CH,1,0.1780,0.1070,0.096167,27.02,0.1374,-0.6637,37.79,0.7213,-0.1666,0.3482,0.0000,100.00,-0.6,0
USDJPY,SMA,1,0.1858,0.0633,0.145602,32.43,0.0641,0.9409,63.55,0.9108,0.3377,0.5279,0.0000,100.00,-18.6,0
USDJPY,SMA,1,0.1863,0.1177,0.133137,30.17,0.0371,0.8984,68.00,0.9728,0.3251,0.4829,0.0000,100.00,-15.7,0
USDJPY,SMA,1,0.1864,0.1449,0.135639,30.92,0.0403,0.9234,60.31,0.9589,0.1878,0.4919,0.0000,100.00,-9.1,0
USDJPY,SMA,1,0.1858,0.1709,0.144383,31.61,0.0524,0.9375,68.44,0.9386,0.3813,0.5235,0.0000,100.00,-23.9,0
USDJPY,CH,1,0.1798,0.1862,0.085440,25.67,-0.0703,-0.7437,30.29,0.7313,-0.1786,0.3099,0.0000,100.00,-49.6,0
USDJPY,CH,1,0.1798,0.1036,0.094927,28.52,-0.0801,-0.7757,29.52,0.6886,-0.2664,0.3443,0.0000,100.00,-48.3,0
USDJPY,CH,1,0.1771,0.1710,0.122513,34.91,-0.0987,-0.9301,26.65,0.4078,-0.3326,0.4446,0.0000,100.00,-36.3,0
EURUSD,CH,-1,0.2007,0.0803,0.001525,25.33,0.0984,0.3686,69.21,0.1335,0.2804,0.5167,0.0000,100.00,9.6,1
GBPUSD,CH,1,0.2499,0.2177,0.001201,24.68,0.2755,-0.4530,37.41,0.7481,0.0015,0.3476,0.0000,100.00,101.0,1
GBPUSD,CH,-1,0.2777,0.0648,0.003263,27.83,0.2065,0.4475,73.11,0.8385,0.4520,0.9438,0.0000,100.00,-0.6,0
GBPUSD,CH,-1,0.2489,0.5612,0.002123,24.58,0.1944,-0.1068,71.41,0.7761,0.4828,0.6147,0.0000,100.00,-9.5,0
GBPUSD,CH,-1,0.2778,0.1520,0.002573,25.88,0.1998,0.1424,72.19,0.8033,0.4464,0.7446,0.0000,100.00,-6.2,0
USDJPY,CH,-1,0.1875,0.1338,0.188493,36.39,-0.2297,-0.7647,42.70,0.4115,-0.3067,0.6860,0.0000,100.00,-24.5,0
USDJPY,CH,-1,0.1845,0.0838,0.130171,31.10,-0.2475,-0.3410,42.93,0.5648,-0.2633,0.4741,0.0000,100.00,-27.8,0
USDJPY,CH,-1,0.1845,0.0956,0.111137,28.74,-0.2507,-0.1248,45.13,0.5777,-0.2370,0.4048,0.0000,100.00,-25.9,0
USDJPY,CH,-1,0.1860,0.1619,0.092007,29.22,-0.2515,0.3128,54.72,0.5828,-0.1435,0.3352,0.0000,100.00,-14.8,0
USDJPY,CH,-1,0.1859,0.1009,0.095143,26.43,-0.2393,0.8228,55.29,0.5822,0.0664,0.3466,0.0000,100.00,-13.8,0
USDJPY,CH,-1,0.1876,0.1071,0.120027,26.45,-0.1768,0.8894,65.67,0.5778,0.4743,0.4370,0.0000,100.00,3.0,1
USDJPY,CH,-1,0.1875,0.1053,0.132367,27.25,-0.1503,0.8805,68.62,0.5772,0.5025,0.4818,0.0000,100.00,8.5,1
USDJPY,CH,1,0.1951,0.1558,0.111473,25.47,0.0129,-0.1753,36.67,0.6741,-0.0219,0.4054,0.0000,100.00,-25.5,0
USDJPY,CH,1,0.1951,0.0674,0.118766,24.07,0.0189,-0.4311,36.59,0.7131,-0.0838,0.4320,0.0000,100.00,-25.4,0
GBPUSD,CH,1,0.2444,0.1029,0.002100,25.11,0.0660,-0.5208,33.40,0.7623,-0.4633,0.6021,0.0000,100.00,-5.9,0
GBPUSD,CH,1,0.2444,0.0835,0.002371,26.66,0.0407,-0.5972,32.93,0.8144,-0.4670,0.6800,0.0000,100.00,-3.6,0
GBPUSD,CH,1,0.2445,0.0626,0.002593,28.21,0.0119,-0.6411,31.83,0.8581,-0.5555,0.7440,0.0000,100.00,1.8,1
USDJPY,CH,-1,0.1918,0.7247,0.147366,25.60,-0.0734,0.1685,66.10,0.8275,0.4170,0.5404,0.0000,100.00,8.3,1
USDJPY,SMA,-1,0.1785,0.0869,0.159257,28.27,-0.1164,-0.8538,38.02,0.5632,-0.3609,0.5822,0.0000,100.00,-23.6,0
USDJPY,SMA,-1,0.1786,0.0906,0.151793,28.32,-0.1322,-0.8336,34.52,0.5545,-0.3893,0.5550,0.0000,100.00,-29.3,0
USDJPY,SMA,-1,0.1786,0.0568,0.144681,29.48,-0.1487,-0.8171,32.58,0.5468,-0.4003,0.5291,0.0000,100.00,-32.7,0
USDJPY,SMA,-1,0.1786,0.0549,0.129219,30.21,-0.1628,-0.7823,36.43,0.5365,-0.3911,0.4726,0.0000,100.00,-29.3,0
USDJPY,CH,-1,0.1941,0.3024,0.080575,27.58,0.1639,0.4274,73.27,0.2655,0.3417,0.2935,0.0000,100.00,-17.1,0
USDJPY,CH,-1,0.1938,0.1532,0.128709,29.76,0.1645,0.5327,77.86,0.3277,0.4664,0.4687,0.0000,100.00,-0.6,0
USDJPY,CH,-1,0.1938,0.0897,0.164184,32.81,0.1623,0.6094,78.67,0.3916,0.5212,0.5977,0.0000,100.00,3.6,1
EURUSD,CH,1,0.1664,0.0712,0.000951,25.75,-0.0872,-0.8975,27.68,0.4887,-0.2905,0.3216,0.0000,100.00,-50.1,0
EURUSD,CH,1,0.1766,0.2758,0.001314,31.39,-0.1020,-0.8742,21.29,0.4848,-0.4603,0.4444,0.0000,100.00,-29.9,0
EURUSD,CH,1,0.1847,0.0629,0.002569,43.85,-0.1515,-0.8995,15.11,0.7131,-0.6742,0.8702,0.0000,100.00,-1.5,0
EURUSD,CH,1,0.1767,0.1758,0.001660,34.36,-0.1129,-0.8668,18.63,0.5027,-0.5196,0.5618,0.0000,100.00,-19.4,0
EURUSD,CH,1,0.1769,0.1768,0.002055,37.64,-0.1229,-0.8657,16.25,0.5307,-0.6320,0.6956,0.0000,100.00,-6.5,0
USDJPY,CH,1,0.1723,0.0808,0.041572,39.46,0.2633,-0.8424,52.02,0.7738,0.0191,0.1508,0.0000,100.00,7.2,1
EURUSD,CH,-1,0.1747,0.0876,0.001567,46.94,-0.3458,-0.6571,35.42,0.7898,-0.4301,0.5326,0.0000,100.00,18.9,1
EURUSD,CH,-1,0.1747,0.0936,0.001276,46.54,-0.3524,-0.5680,34.85,0.7851,-0.3981,0.4340,0.0000,100.00,17.5,1
EURUSD,CH,-1,0.1722,0.0867,0.000527,52.12,-0.3576,-0.2741,40.19,0.7823,-0.1960,0.1792,0.0000,100.00,21.2,1
EURUSD,CH,1,0.1739,0.0724,0.000728,42.30,-0.2580,-0.4442,32.63,0.9306,-0.1182,0.2476,0.0000,100.00,-10.3,0
GBPUSD,CH,-1,0.2087,0.1794,0.001549,30.28,-0.1895,-0.6502,48.39,0.3766,-0.2221,0.4465,0.0000,100.00,28.8,1
GBPUSD,CH,-1,0.2158,0.2786,0.000885,27.68,-0.2202,-0.1337,54.92,0.3658,-0.0770,0.2553,0.0000,100.00,40.0,1
USDJPY,CH,1,0.1380,0.2797,0.082573,41.33,0.1555,0.5478,38.13,0.7862,-0.1076,0.2985,0.0000,100.00,-6.1,0
USDJPY,CH,1,0.1544,0.0896,0.093787,40.36,0.1342,0.0758,38.83,0.7880,-0.1004,0.3390,0.0000,100.00,-5.0,0
EURUSD,CH,-1,0.1378,0.3118,0.000598,38.09,-0.0879,-0.1749,62.64,0.8593,0.1792,0.2040,0.0000,100.00,-10.5,0
EURUSD,CH,-1,0.1529,0.1226,0.001065,39.08,-0.0432,0.5340,67.50,0.9129,0.2209,0.3633,0.0000,100.00,1.2,1
EURUSD,CH,-1,0.1531,0.0997,0.000808,38.04,-0.0655,0.2613,63.21,0.8636,0.1416,0.2759,0.0000,100.00,-8.1,0
USDJPY,SMA,1,0.2265,0.1604,0.256947,29.91,0.1025,0.7548,68.43,0.5809,0.5518,0.9403,0.0000,100.00,65.3,1
USDJPY,SMA,1,0.2265,0.0483,0.263272,30.90,0.1237,0.7712,68.01,0.5494,0.5749,0.9632,0.0000,100.00,65.7,1
USDJPY,SMA,1,0.2266,0.0811,0.266306,32.64,0.1444,0.7799,67.27,0.5185,0.5491,0.9740,0.0000,100.00,66.6,1
